County,Case
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
Dade,1
